s,theoretical_forkRate,real_forkRate,theoretical_staleRate,real_staleRate,hashrateWeightedMaxPropTime,aveMaxPropTime,maxPropTime
0,0.00791945,0.007914,0.0079545,0.007944,5300,5303,5303
0.025,0.00791918,0.008012,0.00795423,0.008035,5297,5303,5303
0.05,0.00791835,0.007862,0.0079534,0.007885,5300,5303,5303
0.075,0.00791695,0.007908,0.00795198,0.007938,5299,5303,5303
0.1,0.00791493,0.007941,0.00794996,0.007966,5298,5303,5303
0.125,0.00791228,0.007855,0.00794729,0.007883,5298,5303,5303
0.15,0.00790896,0.00792,0.00794397,0.007952,5298,5303,5303
0.175,0.00790496,0.007919,0.00793995,0.00795,5298,5303,5303
0.2,0.00790024,0.007759,0.00793521,0.007791,5300,5303,5303
0.225,0.00789478,0.007856,0.00792972,0.007879,5299,5303,5303
0.25,0.00788853,0.007761,0.00792345,0.007795,5299,5303,5303
0.275,0.00788149,0.008039,0.00791637,0.008065,5299,5303,5303
0.3,0.00787361,0.007979,0.00790846,0.008001,5298,5303,5303
0.325,0.00786487,0.007766,0.00789968,0.007794,5296,5303,5303
0.35,0.00785524,0.007782,0.00789,0.007807,5297,5303,5303
0.375,0.00784468,0.007922,0.0078794,0.007962,5298,5303,5303
0.4,0.00783317,0.007991,0.00786784,0.008018,5298,5303,5303
0.425,0.00782069,0.007932,0.0078553,0.007948,5298,5303,5303
0.45,0.00780719,0.007869,0.00784174,0.00789,5300,5303,5303
0.475,0.00779266,0.007763,0.00782715,0.007797,5297,5303,5303
0.5,0.00777707,0.007819,0.00781149,0.007847,5299,5303,5303
0.525,0.00776038,0.007722,0.00779473,0.007746,5298,5303,5303
0.55,0.00774258,0.007858,0.00777685,0.00788,5298,5303,5303
0.575,0.00772364,0.00769,0.00775782,0.00771,5296,5303,5303
0.6,0.00770353,0.007776,0.00773762,0.007795,5298,5303,5303
0.625,0.00768223,0.007606,0.00771623,0.007633,5298,5303,5303
0.65,0.00765972,0.007549,0.00769362,0.00758,5298,5303,5303
0.675,0.00763599,0.00756,0.00766978,0.007583,5299,5303,5303
0.7,0.007611,0.007675,0.00764469,0.007701,5298,5303,5303
0.725,0.00758475,0.007582,0.00761832,0.007615,5297,5303,5303
0.75,0.00755723,0.007599,0.00759068,0.007625,5296,5303,5303
0.775,0.00752841,0.007548,0.00756173,0.007575,5298,5303,5303
0.8,0.00749829,0.007386,0.00753147,0.007408,5297,5303,5303
0.825,0.00746685,0.00747,0.0074999,0.007489,5298,5303,5303
0.85,0.00743409,0.007297,0.00746699,0.007324,5298,5303,5303
0.875,0.00740002,0.007288,0.00743277,0.007312,5298,5303,5303
0.9,0.00736461,0.007403,0.00739721,0.00743,5298,5303,5303
0.925,0.00732789,0.007326,0.00736032,0.007346,5297,5303,5303
0.95,0.00728983,0.007216,0.00732209,0.007244,5297,5303,5303
0.975,0.00725046,0.007273,0.00728255,0.007297,5298,5303,5303
1,0.00720977,0.007016,0.00724168,0.00703,5299,5303,5303
1.025,0.00716779,0.00718,0.00719951,0.007209,5298,5303,5303
1.05,0.00712452,0.007139,0.00715605,0.00715,5297,5303,5303
1.075,0.00707997,0.00707,0.0071113,0.007085,5300,5303,5303
1.1,0.00703417,0.00703,0.0070653,0.007055,5297,5303,5303
1.125,0.00698713,0.006972,0.00701805,0.006987,5298,5303,5303
1.15,0.00693886,0.007022,0.00696957,0.007037,5298,5303,5303
1.175,0.00688942,0.006828,0.00691991,0.006847,5298,5303,5303
1.2,0.0068388,0.006896,0.00686907,0.006908,5299,5303,5303
1.225,0.00678704,0.006716,0.00681708,0.006741,5299,5303,5303
1.25,0.00673418,0.006695,0.00676399,0.006706,5298,5303,5303
1.275,0.00668025,0.006656,0.00670981,0.006676,5298,5303,5303
1.3,0.00662527,0.006664,0.00665459,0.006691,5298,5303,5303
1.325,0.00656929,0.006472,0.00659836,0.006493,5299,5303,5303
1.35,0.00651235,0.006349,0.00654118,0.006364,5298,5303,5303
1.375,0.00645448,0.006396,0.00648304,0.006414,5298,5303,5303
1.4,0.00639571,0.006473,0.00642402,0.006488,5298,5303,5303
1.425,0.00633611,0.006334,0.00636415,0.006344,5300,5303,5303
1.45,0.00627571,0.006164,0.00630348,0.006178,5299,5303,5303
1.475,0.00621454,0.006187,0.00624204,0.0062,5299,5303,5303
1.5,0.00615265,0.00615,0.00617988,0.006165,5298,5303,5303
1.525,0.0060901,0.006203,0.00611706,0.006215,5297,5303,5303
1.55,0.00602693,0.005978,0.0060536,0.005987,5299,5303,5303
1.575,0.00596318,0.005948,0.00598957,0.005961,5298,5303,5303
1.6,0.00589889,0.005876,0.00592499,0.005894,5297,5303,5303
1.625,0.00583413,0.005806,0.00585995,0.005819,5298,5303,5303
1.65,0.00576892,0.005619,0.00579445,0.005632,5297,5303,5303
1.675,0.00570331,0.005843,0.00572855,0.005856,5299,5303,5303
1.7,0.00563737,0.00561,0.00566232,0.005634,5298,5303,5303
1.725,0.00557112,0.005585,0.00559578,0.005595,5298,5303,5303
1.75,0.00550463,0.005413,0.00552899,0.005426,5298,5303,5303
1.775,0.00543792,0.005387,0.00546199,0.005397,5296,5303,5303
1.8,0.00537105,0.005361,0.00539482,0.005375,5298,5303,5303
1.825,0.00530404,0.005285,0.00532751,0.005295,5298,5303,5303
1.85,0.00523696,0.005273,0.00526014,0.005282,5298,5303,5303
1.875,0.00516985,0.00533,0.00519273,0.005352,5297,5303,5303
1.9,0.00510275,0.005109,0.00512533,0.005118,5299,5303,5303
1.925,0.00503567,0.004935,0.00505796,0.004943,5299,5303,5303
1.95,0.00496869,0.004891,0.00499068,0.0049,5298,5303,5303
1.975,0.00490182,0.004874,0.00492352,0.004884,5298,5303,5303
2,0.00483511,0.004886,0.00485651,0.004887,5298,5303,5303
